Player,team,TS%,TSA,Usage,Scoring Possessions,Possessions,Floor Percentage,MIN_player
Duane Causwell,Celtics,45.95,616.92,16.46,3.4,7.13,47.76,1790
LaSalle Thompson,Celtics,47.51,603.04,14.73,4.0,8.7,45.96,2147
Tim Perry,Celtics,41.32,81.08,15.05,1.55,3.3,47.04,262
Tom Hammonds,Celtics,50.04,778.4,19.22,4.63,9.23,50.19,1908
Ben Coleman,Celtics,37.79,260.64,8.79,1.54,4.51,34.28,1728
Oscar Schmidt,Celtics,58.97,1376.96,25.35,9.52,16.69,57.01,2405
Sean Higgins,Celtics,58.19,1147.88,26.14,6.94,13.19,52.57,2077
John Williams,Celtics,48.01,176.0,15.25,1.45,2.89,50.17,554
Byron Scott,Celtics,54.7,1774.16,27.39,10.45,21.21,49.27,3127
Dave Jamerson,Celtics,56.21,56.04,16.47,1.18,2.17,54.22,156
Derek Harper,Celtics,49.84,1065.32,19.89,8.45,15.78,53.55,2679
Steve Alford,Celtics,53.06,435.32,19.28,3.41,6.91,49.43,1188
Don Maclean,Heat,46.17,1059.04,24.41,5.92,13.02,45.45,2092
Andre Moore,Heat,43.87,213.12,12.33,2.03,4.83,42.07,905
Robert Horry,Heat,52.24,1385.92,27.35,8.45,17.7,47.72,2549
Anthony Reed,Heat,46.83,564.84,17.96,3.18,6.84,46.5,1604
Chris Jent,Heat,41.16,229.6,9.89,2.16,5.2,41.59,1224
Carson Meyers,Heat,40.32,14.88,4.24,0.41,1.02,40.06,159
Trent Tucker,Heat,51.82,254.72,23.77,2.61,4.87,53.57,597
Steve Rogers,Heat,51.78,369.84,23.17,3.51,7.36,47.69,857
Greg Graham,Heat,46.19,589.96,14.02,3.3,7.32,45.0,2278
Anfernee Hardaway,Heat,51.95,1541.84,27.73,11.03,22.49,49.05,3091
John Paxson,Heat,54.39,463.28,14.24,3.42,6.18,55.26,1625
Litterial Green,Heat,50.86,307.68,18.64,2.4,4.99,48.15,918
Benoit Benjamin,Nets,45.63,630.0,13.04,3.75,9.15,40.97,2613
Tim Kempton,Nets,48.39,223.2,15.54,1.41,3.03,46.44,719
Donald Hodge,Nets,49.13,751.04,16.32,4.56,9.92,45.92,2286
Les Jepsen,Nets,45.84,832.2,18.7,4.53,9.61,47.11,2083
Stanley Roberts,Nets,45.62,131.52,17.85,1.5,3.13,48.06,342
Drazen Petrovic,Nets,57.34,1675.92,27.12,10.21,20.71,49.31,2994
Tom Chambers,Nets,52.59,1203.56,23.3,6.93,13.87,49.96,2346
Derrick McKey,Nets,54.39,425.64,14.89,2.94,6.18,47.58,1481
Mitchell Jordan,Nets,51.69,1386.16,27.41,10.58,21.1,50.12,2438
Carson Nichols,Nets,51.76,771.76,18.82,5.12,10.32,49.65,1944
Duane Cooper,Nets,51.17,205.2,21.82,1.41,2.94,47.91,532
Christian Welp,Knicks,46.51,721.28,18.49,4.12,9.2,44.8,1968
Acie Earl,Knicks,43.82,488.4,20.93,2.55,6.01,42.4,1213
Karl Malone,Knicks,46.34,1429.52,26.69,7.04,15.92,44.21,2634
Terry Cummings,Knicks,51.34,123.68,13.28,1.14,2.69,42.22,583
Lance Blanks,Knicks,51.32,741.4,21.61,4.3,8.63,49.86,1721
Chris Mills,Knicks,50.23,706.72,14.06,3.97,8.26,48.06,2536
Dale Ellis,Knicks,50.55,135.52,9.68,1.03,2.19,47.23,725
John Best,Knicks,42.84,109.72,15.29,2.38,6.23,38.19,408
Mike Morrison,Knicks,55.22,365.8,18.03,2.34,5.39,43.36,1212
Rob Williams,Knicks,51.31,1058.36,22.43,9.25,19.29,47.96,2771
Mike Iuzzolino,Knicks,55.82,859.04,18.82,5.88,13.43,43.82,2713
Kelvin Upshaw,Knicks,45.96,10.88,6.03,1.77,3.59,49.41,61
Lee Mayberry,Knicks,45.18,160.48,16.82,1.66,3.86,43.04,527
Dikembe Mutombo,Magic,44.01,1291.72,24.82,6.83,15.64,43.7,2518
Olden Polynice,Magic,45.15,543.76,20.09,2.89,6.52,44.38,1388
Hank Gathers,Magic,46.5,1360.12,25.24,7.36,15.94,46.18,2602
Dennis Rodman,Magic,38.64,336.4,13.67,1.67,4.62,36.15,1298
Scottie Pippen,Magic,50.75,631.48,11.67,4.29,8.84,48.52,2898
