Player,team,TS%,TSA,Usage,Scoring Possessions,Possessions,Floor Percentage,MIN_player
Brad Daugherty,Celtics,46.42,730.32,30.6,8.99,19.2,46.81,1164
Charles Barkley,Celtics,46.83,395.04,18.08,4.23,9.69,43.68,1106
Roy Rogers,Celtics,47.65,502.6,27.26,5.05,10.72,47.12,885
Makhtar N'Diaye,Celtics,41.18,34.0,17.31,0.62,2.0,30.95,154
Mirsad Turkcan,Celtics,53.52,471.76,21.19,6.11,13.05,46.84,1052
Isaac Daly,Celtics,47.0,176.6,14.2,1.87,4.08,45.82,950
Damian Owens,Celtics,46.14,96.44,12.43,0.95,2.99,31.64,759
Jerry Stackhouse,Celtics,55.65,421.36,22.68,7.39,15.36,48.1,927
Phil Brand,Celtics,52.24,156.0,17.96,1.84,3.89,47.37,632
Mike Bibby,Celtics,47.31,544.28,22.87,7.5,17.02,44.09,1287
Derek Fisher,Celtics,54.27,357.44,17.86,4.8,10.82,44.38,1171
Elden Campbell,Heat,49.48,428.48,17.51,5.33,10.84,49.17,1231
Greg Ostertag,Heat,43.44,206.04,15.57,2.57,5.59,46.06,888
Vladimir Stepania,Heat,44.38,288.44,13.99,3.5,8.6,40.76,1090
Jermaine O'Neal,Heat,48.39,117.8,27.17,1.49,2.88,51.63,336
Chris Washburn,Heat,33.33,3.0,11.53,0.19,0.76,24.36,19
Grant Hill,Heat,54.59,587.08,24.17,7.44,15.34,48.49,1198
Glen Rice,Heat,55.8,180.12,17.5,2.44,5.01,48.67,692
Eric Piatkowski,Heat,56.72,939.76,28.02,12.07,22.93,52.62,1442
Chris Robinson,Heat,100.0,1.0,39.88,0.72,0.72,100.0,1
Ed Gray,Heat,55.69,72.72,26.42,1.32,2.92,45.32,239
Anfernee Hardaway,Heat,58.45,730.6,24.93,12.89,24.35,52.91,1460
Bryce Drew,Heat,52.62,136.84,29.6,1.9,4.47,42.55,326
Scot Pollard,Nets,45.88,475.12,22.49,6.25,13.65,45.83,958
Kevin Salvadori,Nets,41.93,213.44,15.24,2.4,5.72,41.91,897
Mark Buford,Nets,42.24,222.56,27.03,2.56,5.96,43.0,652
Dale Davis,Nets,38.1,47.24,13.04,1.35,3.51,38.5,213
Jerome Lane,Nets,56.29,720.44,25.3,10.29,19.35,53.16,1373
Robert Horry,Nets,53.89,512.16,21.32,6.12,12.49,48.98,1132
Korleone Young,Nets,49.19,51.84,17.27,1.1,2.31,47.84,214
Gary Trent,Nets,50.13,137.64,16.05,4.57,10.03,45.58,465
Adam Keefe,Nets,51.76,287.88,19.7,3.49,6.81,51.28,683
Derek Anderson,Nets,54.09,531.48,19.6,6.56,12.95,50.61,1289
Moochie Norris,Nets,51.04,202.8,31.6,3.14,6.08,51.69,505
Sam Cassell,Nets,52.28,806.24,26.29,10.69,20.38,52.43,1468
Jon Koncak,Knicks,48.19,239.68,19.48,2.95,6.16,47.82,816
Casey Shaw,Knicks,45.73,68.88,19.61,1.48,2.98,49.56,262
David Robinson,Knicks,54.95,551.4,21.87,7.47,14.28,52.3,1190
Rony Seikaly,Knicks,44.33,409.4,26.08,4.77,11.68,40.83,980
Michael Jordan,Knicks,61.76,425.0,25.86,8.3,16.18,51.29,780
Tim Perry,Knicks,46.62,365.72,17.89,4.11,9.2,44.68,1107
Kebu Stewart,Knicks,51.71,105.4,26.18,2.68,5.85,45.78,476
Lucious Harris,Knicks,62.8,330.44,20.38,8.68,15.56,55.78,717
Aleksandar Dordevic,Knicks,52.69,258.12,20.62,4.09,9.32,43.88,854
Charles O'Bannon,Knicks,54.38,179.28,25.2,2.53,4.82,52.46,314
Cory Carr,Knicks,50.0,6.0,10.4,0.75,1.19,63.21,17
Steve Nash,Knicks,55.5,874.84,27.97,13.01,24.22,53.71,1432
Alvin Williams,Knicks,59.33,401.96,21.47,5.21,9.57,54.42,927
Rasheed Wallace,Magic,45.63,547.92,25.22,5.15,11.37,45.27,1300
Tony Battie,Magic,47.45,812.48,20.86,6.77,14.31,47.28,1621
Greg Cadillac Anderson,Magic,52.38,839.08,29.66,8.05,15.85,50.79,1318
Pat Garrity,Magic,49.73,299.64,33.79,2.91,5.7,51.0,513
Tim Thomas,Magic,50.64,220.2,20.99,2.45,5.43,45.13,756
