Player,team,TS%,TSA,Usage,Scoring Possessions,Possessions,Floor Percentage,MIN_player
Duane Causwell,Celtics,46.44,409.12,15.64,4.47,9.36,47.79,1226
Otis Thorpe,Celtics,43.55,283.6,12.23,3.17,8.18,38.72,1330
Panagiotis Fasoulas,Celtics,49.36,186.4,9.24,2.34,4.84,48.48,994
Oscar Schmidt,Celtics,56.07,1099.48,29.93,12.0,22.42,53.55,1666
Walter Berry,Celtics,47.83,94.08,12.64,1.12,3.02,37.03,439
Reggie King,Celtics,35.82,106.08,13.7,0.89,2.78,31.98,422
Byron Scott,Celtics,56.53,897.72,27.37,10.85,21.07,51.5,1592
Jim Paxson,Celtics,48.96,123.56,12.74,1.47,2.78,52.67,428
Craig Hodges,Celtics,51.51,665.92,22.51,9.09,17.81,51.01,1496
Bimbo Coles,Celtics,49.35,221.88,20.85,3.45,6.42,53.73,538
Steve Henson,Celtics,,0.0,0.0,0.0,0.0,,2
Joe Barry Carroll,Heat,51.51,555.24,27.0,8.57,17.33,49.48,1001
Elden Campbell,Heat,49.28,520.48,23.04,6.3,13.09,48.13,1119
Greg Dreiling,Heat,43.9,153.76,18.32,1.95,4.22,46.13,394
Tom Hammonds,Heat,48.79,487.8,23.18,5.8,11.76,49.33,984
Dennis Johnson,Heat,49.21,371.84,17.07,4.62,9.49,48.72,1053
Ken Norman,Heat,30.17,23.2,13.27,0.39,1.31,29.85,66
Dale Ellis,Heat,58.7,107.32,12.36,1.56,3.17,49.14,460
Otis Birdsong,Heat,54.35,595.2,22.58,8.16,15.93,51.19,1318
John Drew,Heat,56.71,215.12,15.32,3.03,5.79,52.37,709
Ron Harper,Heat,45.05,8.88,20.2,2.38,5.87,40.62,33
Terry Porter,Heat,48.94,314.68,15.25,6.98,14.57,47.95,1346
Quinn Buckner,Heat,48.05,121.76,19.01,2.26,5.13,44.14,395
Stacey King,Nets,42.65,357.6,19.46,3.94,9.28,42.51,891
Mark Bryant,Nets,38.69,95.64,32.26,3.32,8.28,40.08,189
Ben Coleman,Nets,42.83,258.0,11.93,3.04,7.15,42.51,1087
Jeff Sanders,Nets,41.71,164.24,20.71,1.82,4.5,40.45,410
Drazen Petrovic,Nets,60.92,514.6,20.61,7.43,14.58,50.94,1257
Tom Chambers,Nets,52.86,605.36,28.4,8.39,16.5,50.85,989
Ronnie Murphy,Nets,44.23,73.48,13.53,1.95,4.43,43.9,244
Fred Reynolds,Nets,0.0,1.0,22.23,0.0,0.73,0.0,2
Cedric Ceballos,Nets,54.97,121.88,30.6,2.25,5.22,43.19,240
Ricky Pierce,Nets,49.64,625.52,24.87,7.83,16.43,47.63,1222
Dave Jamerson,Nets,54.73,203.72,14.5,2.98,6.29,47.38,742
Mitchell Jordan,Nets,52.62,530.2,19.93,9.25,17.77,52.08,1393
Dean Hart,Knicks,48.39,702.56,25.56,8.18,16.62,49.2,1319
Kevin Duckworth,Knicks,50.24,580.2,20.36,7.31,14.25,51.31,1428
Bill Walton,Knicks,42.52,259.88,17.03,2.69,6.67,40.25,819
Clark Kellogg,Knicks,53.22,659.48,22.55,8.67,16.28,53.23,1473
Kenny Walker,Knicks,45.21,59.72,18.54,0.75,1.57,47.64,154
Kevin Gamble,Knicks,43.76,26.28,15.35,1.53,3.39,45.0,82
Guy Williams,Knicks,51.4,352.12,21.16,4.11,8.16,50.39,810
Adrian Dantley,Knicks,58.92,567.68,21.96,8.85,15.83,55.9,1390
Harrison Morgan,Knicks,63.42,29.96,11.36,0.5,1.13,44.13,188
Danny Young,Knicks,54.2,318.28,13.71,5.27,11.18,47.14,1426
Darwin Cook,Knicks,44.87,133.72,14.96,1.87,4.16,44.88,509
Darryl Dawkins,Magic,46.8,504.32,21.4,4.89,11.43,42.76,1196
Vladimir Tkachenko,Magic,46.35,252.44,13.71,2.49,5.32,46.72,885
Torgeir Bryn,Magic,47.98,343.92,20.17,3.8,8.12,46.88,781
Hank Gathers,Magic,47.48,666.6,25.02,6.65,13.53,49.16,1211
Scooter McCray,Magic,45.48,36.28,10.02,1.58,3.2,49.42,134
Glen Rice,Magic,52.75,569.64,21.39,6.35,13.14,48.32,1322
J.R. Reid,Magic,49.45,274.04,17.14,2.79,6.04,46.18,794
